review,summary
HTML and CSS if very nicely covered but later sections are recorded more than 4 years back and now each and everything has updated so much that it became a pathetic experience to follow this course. This course should be updated totally or should not be named as web development bootcamp 2023?,"The customer praised the strong initial coverage of HTML and CSS but found the outdated content, reflecting technologies from over four years ago, significantly hindered their learning experience and questioned the relevance of the course as a current web development bootcamp."
"Initially, I rated this course 5 stars and EVERYTHING was indeed 5 stars till authentication module where everythig was outdated and I thought it's just Authentication module and that's it BUT then React module came after where everything is so outdated that you cannot do a single thing from video without getting an error that says that way of doing it is outdated and no longer supported. I remember from Angela video that she once said that we should rethink twice before buying an outdated udemy course..Huge dissapointment at the end because I could not get a single full project from this course without not watching 8+ hours youtube tutorials to cover the holes from this course...","This customer initially praised the course but was deeply disappointed by outdated content, particularly in the React module, requiring extensive external resources to complete projects."
"Best course ever for web development. No one can match the level of her efforts that she put in making this course. After completion of this course , you will be capable for freelancing. She taught the front end and back end very well. The best thing about this course is that she keep updating the course time to time.","This customer raved about the course, praising the instructor's dedication and thoroughness in covering both front-end and back-end development, ultimately equipping students with skills for freelancing – a significant plus due to the instructor’s consistent updates."
"The course is good ! BUT I think when teaching everything together is best than separate topics , example creating projects that uses all tecnologies in one project its hard to get on beginning but good to have every thing in a same project , a project like Social Network would be great , I dont know if it exists in the next lessons , but so far has been good , Thanks","The customer appreciates the course's quality but suggests integrating topics into larger, more practical projects – particularly a comprehensive project like a social network – to improve initial understanding and engagement."
"just a average course, she just ask you to read other documentation for even basic concepts and because other documentation aren't for beginners, you need external sources like other youtube channels to understand. there is room for lots of improvement in the course.","The customer found the course adequate but lacking foundational explanations, relying heavily on external resources due to overly complex materials – offering significant room for improvement."
"I completed a web development bootcamp and it was an amazing experience. The instructors were knowledgeable, the curriculum was well-structured. Highly recommend it to anyone looking to get into web development.","This customer found the web development bootcamp incredibly valuable, praising its knowledgeable instructors and well-organized curriculum – making it a highly recommended program for aspiring developers."
"This course is best for beginners who want to know the basics of web designing. It may not have some advanced topics that are not necessary for understanding basics. My only suggestion is certification is only provided for completed full courses, I requested the Author provide different types of certificates for front-end, back-end and full-stack. It will also help to attract more students, that's my humble request thankyou.","The course provides a solid foundation in web design basics for beginners, but could benefit from offering tiered certifications to better recognize different skill levels."
"This course has been amazing for me to learn the fundamentals and I think it has been designed in a way for us to get stuck , read a few doc , try to figure it out and move on . Great Job !!","Customers find this course highly effective for learning foundational concepts through a challenging, hands-on approach that encourages independent problem-solving."
Angela has been helping me to get to my educational goals. Having a outstanding teacher has helped me be successful in all of my current projects in her corse. I really love how easy she has made accessing further help on every project & I can go on my own time.,"Angela is an exceptional instructor who effectively supports students in achieving their goals, particularly appreciating the ease of access to additional help and flexible learning schedule."
"This is the third course I have taken from Angela and it's as always highly interesting and project-oriented, if you want to gain leadership in the web realm just take the course and work hard. It's worth the money.",This customer found Angela’s courses consistently engaging and effective for developing leadership skills in web development through hands-on projects – a worthwhile investment.
"before taking this course i was a studying coding just by finding long hours YouTube videos and others. but this course was a hidden Jem for me now i found it. it is concise and to the point above all it is time saver. thank you, Angela, for making this course, wish you best of luck in your endeavors!!!","Angela loved this course for its concise and time-saving approach, which transformed her previously unstructured learning method into a focused and effective experience."
Angela's course is great and is fun to follow along. I can't provide a perfect score simply because some of the more important parts on the backend segment are outdated. Though I guess some would argue that the struggle to figure out the proper solution is part of the learning process. (It was stressful nonetheless),"Angela’s course offers an engaging and enjoyable learning experience, but it needs updating in its backend sections to remain relevant for learners."
I am a manager working to refresh my knowledge and get back into hands-on development. This course has been amazing in how it is structured and how it guides me through concepts. This is what I needed and more.,"This customer found the course exceptionally well-structured and guiding, perfectly aligning with their needs to refresh skills and return to hands-on development."
"Pretty easy to understand they the teacher explains everything, even if you are a complete beginner, this is all you need to go from basic to intermediate, then, of course, you need to figure out how to become a better programmer.","Customers found the course exceptionally clear and accessible, providing a solid foundation for beginners to progress to an intermediate level – however, they recognize further self-directed learning is needed to develop advanced programming skills."
"She is an amazing teacher! Angela's teaching is outstanding. It's easy to understand, her pronunciation is clear, and even though English isn't my native language, I can follow along easily. Her valuable tips and motivational words are a great help for my learning. I highly recommend her lectures.","The customer praised Angela as an outstanding teacher, highlighting her clarity, easy-to-understand explanations, and motivating approach – making the course accessible and effective for learners of all English levels."
"For this price, it is an amazing course. It covers a wide range of programming knowledge, including GIT, CSS, JS, Node, DB, API, React, JQuery,  Web 3 and etc. The React section is a bit outdated, but the explanations are perfect! I have access to the Laracast platform, and I can make comparisons. In my opinion, Angela has created good practices and provided valuable resources for developers. It's a good starting point. However, I need new knowledge about the latest React 18 and a deeper dive into hooks, etc.","This course offers an extensive overview of web development technologies and provides excellent foundational knowledge, though it could benefit from updated content on newer React versions."
"There is a big mismatch and midway updates in some of the course contents . Meanwhile you replaced the section of Mongoose DB with a new section for Postgres DB,  the subsequent sections are talking heavily about the usage of Mongoose. Not Only that but Mongoose is kept as a main part of code structure in Authentication and Security Section and left us suffering either skip this part or searching for proper solutions.","The customer experienced significant inconsistencies within the course content, particularly regarding database changes and the confusing integration of Mongoose despite its replacement with Postgres."
"She is very good at creating the course, but at this point of time (sept 2023) i am unable to follow her videos as she just went and deleted obsolete videos and didnt warn or do anything then she post a seperate link for old video, but after deleting the videos she didt post the new video in their place, there are few new videos , but you cant understand them if havenot studied the old videos , so basically if you wish to follow this couse you need to first study old course the start new couse , so basically this new course is forcefully inserted , angela you should have posted a new course with updated video and just sell it at a lowest price","The customer found the course creator skilled but frustrated by the disorganized transition, citing deleted videos and a confusing requirement to first study the old content before accessing the new material."
